dt,"time",device_name,house_number,user_id,country_code,program_title,season,season_episode,genre,product_type
2018-10-01,10:03:25,androidxdk,20523190,YT6Wirt66I35qeLpmI_Lvjy_QzR6kpaY,fi,Fireman Sam,7,S07E05,Series Kids,svod
2018-10-01,10:23:30,androidxdk,20523192,YT6Wirt66I35qeLpmI_Lvjy_QzR6kpaY,fi,Fireman Sam,7,S07E07,Series Kids,svod
2018-10-01,11:59:13,androidxdk,20523162,YT6Wirt66I35qeLpmI_Lvjy_QzR6kpaY,fi,Fireman Sam,6,S06E04,Series Kids,svod
2018-10-01,01:53:56,chromecast,20487504,9DC8AAF9BF4DA3DA,se,Ultimate Spider-Man,2,S02E07,Series Kids,svod
2018-10-01,15:47:12,chromecast,20366838,9DC8AAF9BF4DA3DA,se,NCIS,14,S14E11,Series Other,svod
2018-10-01,17:52:02,chromecast,20366840,9DC8AAF9BF4DA3DA,se,NCIS,14,S14E13,Series Other,svod
2018-10-01,18:59:25,atv,20478060,xzJ_aoMlsw53bplakqzDaFGJnQG7hCAW,no,Luksusfellen,18,S18E01,Own Production,svod
2018-10-01,15:40:43,ios,20519543,F0EE3370267B08FC,dk,Robinson Ekspeditionen,20,S20E05,Own Production,svod
2018-10-01,19:38:13,ios,0162201810011800,H1RG76o_GaeRxf_g9pB4154Am5qyktmX,no,Chelsea - Liverpool,"","",Sports,svod
2018-10-01,16:55:14,atv,20538770,1BMa_mWIa8jKS8_sA2kaJZQb7rBXXzwp,dk,Superliga Live,2015,"",Sports,svod
2018-10-01,14:07:23,atv,V34320,pswoZddewEYrVwyhRjmfh7y3XlROtN9F,no,Tinker Bell and the Lost Treasure,"","",Movies Kids,svod
2018-10-01,20:05:56,atv,20514852,15hH1lcR0TSNtBxWKcgNFLdjeDLaAIIq,no,Ingen utan skuld,1,S01E04,Series Other,svod
2018-10-01,19:22:02,samsung2012xdk,20211925,5ADA071CCF241956,no,Before We Go,"","",Movies Other,svod
2018-10-01,08:10:19,lg2016xdk,20514851,5GeldSXG221cacR2dvEl1OKk5eHZLMN1,se,Ingen utan skuld,1,S01E03,Series Other,svod
2018-10-01,19:15:59,ios,20358540,9A649CFA234AC6E9,se,Notorious,1,S01E06,Series Other,svod
2018-10-01,19:37:50,ios,20358544,9A649CFA234AC6E9,se,Notorious,1,S01E10,Series Other,svod
2018-10-01,16:45:32,atv,20471972,WTNASAHnQi9xYVkds2EHKNSZDIcBUeTP,dk,Coco,"","",Movies Kids,svod
2018-10-01,09:50:36,ios,S12034,hJ2kMUiCdUpgZ7J4xH0VVVetC8gvh9sZ,no,Robinson Ekspedisjonen,9,S09E10,Own Production,svod
2018-10-01,07:17:42,chromecast,20197465,8CC6574F091E4785,no,PAW Patrol,1,S01E03,Series Kids,svod
2018-10-01,18:12:53,ios,V45280,Z2KcezrtNlndde5MvU__K5_dMG0QAe6V,dk,Marvin Marvin,1,S01E04,Series Kids,svod
2018-10-01,16:17:23,atv,7030201810011600,F5A9D4AAAF863FAC,se,Antiques Road Trip,"","",Other,svod
2018-10-01,18:04:00,chromecast,20514852,F5A9D4AAAF863FAC,se,Ingen utan skuld,1,S01E04,Series Other,svod
2018-10-01,18:50:23,samsung2016xdk,20376906,_Y4YlfHHMD8AZ4eNlb4x8MM2k_xzrJ0f,dk,Bones,11,S11E06,Series Other,svod
2018-10-01,20:12:40,samsung2016xdk,20376908,_Y4YlfHHMD8AZ4eNlb4x8MM2k_xzrJ0f,dk,Bones,11,S11E08,Series Other,svod
2018-10-01,21:44:32,pcdash,20429479,_EcW6xQxxf4z6BiJDUOPuRf9tspTsCwS,no,The Fosters,4,S04E18,Series Other,svod
2018-10-01,15:02:09,ios,20526419,_EcW6xQxxf4z6BiJDUOPuRf9tspTsCwS,no,Unikitty!,1,S01E10,Series Kids,svod
2018-10-01,14:14:13,chromecast,20523215,x8P0N7SEfe5PWciAIdMYjpojQNARw_0K,se,Fireman Sam,8,S08E03,Series Kids,svod
2018-10-01,18:02:16,samsung2013xdk,20519544,1pafoBQ14EUBH_r2JLptdeP0ooS6nQ80,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,19:43:27,androiddash,20200585,iQ7UcGv9SS6Jw5TPKONzsW1VdSdRED6k,fi,The Blacklist,3,S03E08,Series Other,svod
2018-10-01,14:08:23,ps4xdk,20366835,zBhAwd9t4mlpMaVel3n2ycYAwMoUnkvD,dk,NCIS,14,S14E08,Series Other,svod
2018-10-01,16:13:09,ps4xdk,20366837,zBhAwd9t4mlpMaVel3n2ycYAwMoUnkvD,dk,NCIS,14,S14E10,Series Other,svod
2018-10-01,18:23:57,pcdashpr,20401409,TKHPPimPHfKU7hIocSJ2KcMOgbUlq_IP,se,White Collar,2,S02E13,Series Other,svod
2018-10-01,23:17:36,atv,20509564,L6kUhtQKFwxvx4zkQ4ruhmOXw4E_w862,se,The Cleveland Show,3,S03E01,Series Other,svod
2018-10-01,14:36:22,pcdash,V11114,456876300C3684E3,se,Unforgettable,1,S01E02,Series Other,svod
2018-10-01,13:51:58,ios,20303600,73AB24660B6F77E4,dk,The Good Wife,2,S02E15,Series Other,svod
2018-10-01,15:28:39,ios,20519553,x5X65YVwT1imp8HgNu6I_WWr8usggi_h,dk,Til Middag Hos,8,S08E01,Own Production,svod
2018-10-01,21:54:43,ps4xdk,20524787,jEEw4vh_1a2SXJYZErpKHsisBMrFSLcI,no,Darts Live,2015,"",Sports,svod
2018-10-01,05:24:54,androidxdk,20523489,MwW4rSb1YwnP8bZxC3geKxNDP2rm1xb_,no,Postman Pat: Special Delivery Service,1,S01E04,Series Kids,svod
2018-10-01,06:55:05,ios,20346463,X8sxqGRq0ZSO71t33n1F9uA9EFcug2jO,se,Lethal Weapon,1,S01E12,Series Other,svod
2018-10-01,18:04:38,samsung2017xdk,0028201810011800,B06A30ADE6C1A47A,se,Barncancergalan - Det svenska humorpriset 2018,"","",Other,svod
2018-10-01,15:58:32,atv,20507563,XBc_BDkc5PEI1e9223RBf3SpnwDFa4h_,se,Sunny Bunnies,1,S01E25,Series Kids,svod
2018-10-01,16:51:39,atv,20507578,XBc_BDkc5PEI1e9223RBf3SpnwDFa4h_,se,Sunny Bunnies,2,S02E13,Series Kids,svod
2018-10-01,17:42:06,atv,20490024,sdaVtMS5mFn2F3b5yd72aFoQQH1WFkvw,dk,"My Little Pony, The Movie","","",Movies Kids,svod
2018-10-01,21:53:16,ps4xdk,20437758,ljekuj3W27HUg1UBtg5w_AzhH0Hzuvls,se,The Thundermans,3,S03E23,Series Kids,svod
2018-10-01,20:05:40,lg2016xdk,20365277,5AE0AA1DB4587687,no,Varg Veum,2,S02E06,Series Other,svod
2018-10-01,19:49:06,ios,20525982,RQ57ERRgqexx3wy301L_p2LnCzI6_aXl,se,Hemliga beundrare,2,S02E04,Own Production,svod
2018-10-01,00:20:27,ios,20512678,Wx9k61pUi4j7wuKTBDlFxssPieE4sL4u,se,The Fosters,5,S05E09,Series Other,svod
2018-10-01,15:19:23,pchls,20519544,geglhhqjOzY8uSvKpuLCbS6p8kCMvcCm,dk,Robinson Ekspeditionen,20,S20E06,Own Production,svod
2018-10-01,19:08:10,atv,20400273,A6D288BCAD5B0FBF,se,My Name Is Earl,4,S04E05,Series Other,svod
2018-10-01,17:00:32,ios,20483826,hGVt0cAulfDhpLeXHE9xW_nMuNWwomZv,se,Monky,"","",Movies Kids,svod
2018-10-01,16:55:03,atv,20531444,2J1H5ssE9Hh5mCaxBFtomnROBgFPnw9p,no,The Walking Dead,7,S07E06,Series Other,svod
2018-10-01,09:23:44,ios,20349643,KEMmCl8vHWkwUCsyveg6k6E09kZ56y2c,se,Poketto Monsutā,14,S14E29,Series Kids,svod
2018-10-01,11:20:25,atv,20364908,KEMmCl8vHWkwUCsyveg6k6E09kZ56y2c,se,Lego City,1,S01E01,Series Kids,svod
2018-10-01,15:05:56,ios,20309297,J97wD100onjMX0YL8HS7Ek6aGbFfmcoK,se,Paradise Hotel Sverige,6,S06E14,Own Production,svod
2018-10-01,14:24:41,ios,20403271,J97wD100onjMX0YL8HS7Ek6aGbFfmcoK,se,Lyxfällan,23,S23E03,Own Production,svod
2018-10-01,14:18:22,ios,20471266,J97wD100onjMX0YL8HS7Ek6aGbFfmcoK,se,Lyxfällan,24,S24E09,Own Production,svod
2018-10-01,14:25:21,ios,20309252,J97wD100onjMX0YL8HS7Ek6aGbFfmcoK,se,Lyxfällan,21,S21E08,Own Production,svod
2018-10-01,14:52:52,ios,20309303,J97wD100onjMX0YL8HS7Ek6aGbFfmcoK,se,Paradise Hotel Sverige,6,S06E20,Own Production,svod
2018-10-01,03:17:23,lg2017xdk,9525201810010200,864200168AC7DBA1,dk,Nyhederne og Vejret,"","",Other,svod
2018-10-01,20:48:27,pcdash,20477269,xktBsihH97BGAG3HSC3nALmKXmyAutVP,dk,Wind River,"","",Movies Other,svod
2018-10-01,01:35:08,pcdash,20380970,qNxrgln_wg5e4qzq7IU5Eo4FC9byHvGC,se,American Dad,9,S09E13,Series Other,svod
2018-10-01,01:55:39,pcdash,20380971,qNxrgln_wg5e4qzq7IU5Eo4FC9byHvGC,se,American Dad,9,S09E14,Series Other,svod
2018-10-01,18:10:26,ios,20507572,_RAhVYCKvONI9TZYWcAywMgpqnpHETF_,dk,Sunny Bunnies,2,S02E07,Series Kids,svod
2018-10-01,18:07:11,ios,20507571,_RAhVYCKvONI9TZYWcAywMgpqnpHETF_,dk,Sunny Bunnies,2,S02E06,Series Kids,svod
2018-10-01,04:10:25,ios,V45258,SRFHTX6c0bSQK5rhp55lVtwT6Zo8hNdb,dk,Team Umizoomi,3,S03E02,Series Kids,svod
2018-10-01,14:32:52,pcdash,20414278,2mt9M9liM9G_s4IKTat0x_edUqDCNiAk,dk,Atlanta,1,S01E04,Series Other,svod
2018-10-01,17:35:42,chromecast,10073556,1EE66DAC52B19826,no,Bosch,2,S02E08,Series Other,svod
2018-10-01,18:46:27,ios,20501983,_vwCNI2tt_RtR2ibz_le0OXJ_w3Akx_Z,se,Paradise Hotel Sverige,9,S09E13,Own Production,svod
2018-10-01,20:41:00,ios,20227500,MSbBDgYQYW55cawzLeyNNYLiiWsdP6cw,dk,Marvel's Agent Carter,2,S02E06,Series Other,svod
2018-10-01,15:20:54,pcdash,20495324,_cGX3TQo9ovshJKKbdkdfGSctd7lKCm3,no,Timeless,2,S02E07,Series Other,svod
2018-10-01,18:22:12,atv,20473146,JZmLP7ZdlRTd3rAzbzAVJhcCyJ4C_R9p,se,Thor: Ragnarok,"","",Movies Other,svod
